workerid,condition,browser,gender,age,trialType,whichCharFirst,storyID,distance1,distance2,attentionCheck1,attentionCheck2,reactionTime,order,happy1,sad1,relief1,regret1,content1,disapp1,closeness1,happy2,sad2,relief2,regret2,content2,disapp2,closeness2,forcedWorse
251,1,Chrome,F,20,3,1,11,11,1,11,1,136575,1,5,1,1,1,1,1,6,7,1,1,1,1,1,7,3
252,1,Chrome,M,27,3,2,11,1,11,1,11,200786,1,3,6,4,7,4,8,4,3,6,4,7,5,8,4,2
253,1,Chrome,F,29,3,1,11,11,1,11,1,120551,1,1,7,1,7,1,7,5,1,8,1,7,1,7,1,3
254,1,Chrome,M,21,1,1,11,19,11,19,11,146223,1,3,7,4,7,3,8,3,2,7,2,8,3,9,6,2
255,1,Chrome,F,45,2,1,11,19,1,19,1,348323,1,2,8,1,8,1,9,3,1,8,1,9,1,9,3,1
256,1,Chrome,M,26,1,1,11,19,11,19,11,85334,1,1,1,2,7,2,8,3,1,7,2,5,2,7,4,3
257,1,Firefox,M,33,1,1,11,19,11,19,11,344708,1,2,6,3,5,4,7,2,7,2,5,2,6,1,8,1
258,1,Firefox,M,29,3,1,11,11,1,11,1,183671,1,2,8,2,5,5,9,7,2,8,5,6,2,8,2,3
259,1,Firefox,M,36,1,1,11,19,11,19,19,147047,1,2,5,1,1,2,8,1,2,5,1,2,1,7,1,3
260,1,Firefox,M,25,2,2,11,1,19,1,19,232989,1,5,5,3,7,2,6,1,5,5,2,7,2,6,1,3
261,1,Firefox,F,31,2,2,11,1,19,1,19,248687,1,4,2,1,9,5,9,7,4,2,1,9,5,9,6,3
262,1,Firefox,M,38,1,1,11,19,11,19,11,180897,1,3,7,4,4,4,7,3,1,9,3,9,4,9,9,2
263,1,Chrome,M,25,1,2,11,11,19,11,19,202748,1,3,3,2,8,2,3,1,2,3,2,8,2,7,1,3
264,1,Firefox,M,26,1,2,11,11,19,11,19,323222,1,2,5,2,7,3,9,9,3,6,2,5,3,9,3,1
