workerid,condition,browser,gender,age,storyID,order,whichCharFirst,trialType,distance1,distance2,attentionCheck1,attentionCheck2,attentionCheckWL1,attentionCheckWL2,reactionTime,happy1,sad1,relief1,regret1,content1,disapp1,happy2,sad2,relief2,regret2,content2,disapp2,forcedWorse
51,1,Chrome,M,28,7,0,2,1,5,1,5,1,L,L,53564,1,9,1,9,1,9,1,9,1,9,1,9,3
52,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,81144,1,9,1,4,1,9,1,9,1,4,1,9,3
53,1,Chrome,M,29,7,0,2,1,5,1,5,1,L,L,83373,4,7,1,4,1,9,1,8,1,5,1,9,1
54,1,Chrome,M,24,7,0,2,1,5,1,5,1,L,L,131096,1,7,1,8,3,9,1,7,1,9,2,9,3
55,1,Chrome,F,28,7,0,1,1,1,5,1,5,L,L,121837,2,9,1,6,1,9,1,9,1,7,1,9,2
56,1,Chrome,F,24,7,0,2,1,5,1,5,1,L,L,62745,2,8,4,7,5,9,2,8,7,7,4,9,3
57,1,Chrome,F,25,7,0,2,1,5,1,5,1,L,L,136281,5,5,5,5,5,5,5,5,5,5,5,5,3
58,1,Firefox,M,27,7,0,2,1,5,1,5,1,L,L,75465,3,8,1,3,3,9,2,9,1,8,3,9,3
59,1,Chrome,M,32,7,0,2,1,5,1,5,1,L,L,74662,8,2,4,2,3,6,3,3,7,5,4,8,2
60,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,115454,1,8,2,3,2,7,1,8,2,7,2,7,2
61,1,Firefox,F,27,7,0,1,1,1,5,1,5,L,L,76353,1,1,1,9,1,9,1,9,1,9,1,9,3
62,1,Firefox,M,34,7,0,1,1,1,5,1,5,L,L,86946,1,9,1,9,1,9,1,9,1,9,1,9,3
63,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,81274,1,6,1,6,3,7,1,6,1,6,3,8,3
64,1,Chrome,M,28,7,0,1,1,1,5,1,5,L,L,54871,3,8,2,7,3,5,6,2,4,6,4,7,1
65,1,Explorer,F,19,7,0,2,1,5,1,5,1,L,L,71093,1,9,1,9,1,9,1,9,1,9,1,9,3
